entity_1,relationship,entity_2
Abdollah Mehrabi,Acting for or on behalf of,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Saeed Aghajani,Acting for or on behalf of,Islamic Revolutionary Guard Corps Air Force
Basij Resistance Force,Owned or Controlled By,Islamic Revolutionary Guard Corps
Basij Resistance Force,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mehr-E Eqtesad-E Iranian Investment Company,Owned or Controlled By,Mehr Eqtesad Bank
Parviz Fattah,Acting for or on behalf of,Islamic Revolution Mostazafan Foundation
Ansar Bank,Owned or Controlled By,Islamic Revolutionary Guard Corps
Ansar Bank,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Rostam Qasemi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Rostam Qasemi,Acting for or on behalf of,Qasem Soleimani
Bank Markazi Jomhouri Islami Iran,Providing support to,Hizballah
Bank Markazi Jomhouri Islami Iran,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hossein Nejat,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Yadollah Javani,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Esma'Il Razavi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Esma'Il Razavi,Providing support to,Taliban
Ahmad Shafahi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Abbas Nilforushan,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Shahed Aviation Industries Research Center,Providing support to,Islamic Revolutionary Guard Corps Air Force
Mohammad Taghi Osanloo,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Hassan Asgari,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Seyed Sadegh Hosseini,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Hossein Maroufi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Hassan Hassanzadeh,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Bonyad Taavon Sepah,Owned or Controlled By,Islamic Revolutionary Guard Corps
Yahya Ala'Oddini,Acting for or on behalf of,Bonyad Taavon Sepah
Hossein Tanavar,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mojtaba Fada,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Aliasghar Norouzi,Acting for or on behalf of,Bonyad Taavon Sepah
Ahmad Karimi,Acting for or on behalf of,Bonyad Taavon Sepah
Seyyed Aminollah Emami Tabatabai,Acting for or on behalf of,Bonyad Taavon Sepah
Jamal Babamoradi,Acting for or on behalf of,Bonyad Taavon Sepah
Ali Reza Tangsiri,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Ali Reza Tangsiri,Acting for or on behalf of,Paravar Pars Company
Mohammad Sadegh Heidari Mousa,Acting for or on behalf of,Paravar Pars Company
Habib Shahsavari,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Ahmad Khadem Seyedoshohada,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Amanollah Goshtasbi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Parviz Absalan,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mohammad Kazemi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mohammad Kazemi,Acting for or on behalf of,Islamic Revolutionary Guard Corps Intelligence Organization
Mohammad Mehdi Sayyari,Acting for or on behalf of,Islamic Revolutionary Guard Corps Intelligence Organization
Mohammad Hassan Mohagheghi,Acting for or on behalf of,Islamic Revolutionary Guard Corps Intelligence Organization
Rouhollah Bazghandi,Acting for or on behalf of,Islamic Revolutionary Guard Corps Intelligence Organization
Tasnim News Agency,Owned or Controlled By,Islamic Revolutionary Guard Corps
Jamal Shakarami,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mazaher Majidi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Khodarahm Sarani,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Bahman Reyhani,Acting for or on behalf of,Islamic Revolutionary Guard Corps
